X	Y5	Y1	Y_1	Y_4	Y_5	SUMME
-10	2.43432E-13	0.000000107697600425433	0.0000159837411069055	0.00443184841193801	0.0175283004935685	0.0219762403444573
-9.8	5.12775E-13	0.000000185736184455529	0.0000249424712900535	0.00595253241977585	0.0223945302948429	0.028372190922606
-9.6	1.06938E-12	0.000000317134921671598	0.0000385351967420871	0.00791545158297997	0.0283270377416012	0.0362813416573143
-9.4	2.20799E-12	0.000000536103534469761	0.0000589430677565399	0.0104209348144226	0.0354745928462314	0.045955006834153
-9.2	4.51354E-12	0.000000897243516238334	0.0000892616571771329	0.0135829692336856	0.0439835959804272	0.0576567241193198
-9	9.13472E-12	0.0000014867195147343	0.000133830225764885	0.0175283004935685	0.0539909665131881	0.0716545839611709
-8.8	1.83033E-11	0.00000243896074589335	0.000198655471392772	0.0223945302948429	0.0656158147746766	0.0882114395199614
-8.6	3.63096E-11	0.00000396129909103208	0.00029194692579146	0.0283270377416012	0.0789501583008942	0.107573104303687
-8.4	7.13133E-11	0.00000636982517886709	0.000424780270550751	0.0354745928462314	0.0940490773768869	0.129954820390161
-8.2	0.000000000138667999416532	0.0000101408520654868	0.000611901930113773	0.0439835959804272	0.110920834679456	0.15552647358073
-8	0.000000000266955661476285	0.0000159837411069055	0.00087268269504576	0.0539909665131881	0.129517595665892	0.184397228882188
-7.8	0.000000000508814028164504	0.0000249424712900535	0.00123221916847302	0.0656158147746766	0.149727465635745	0.216600442558999
-7.6	0.000000000960143337031234	0.0000385351967420871	0.00172256893905368	0.0789501583008942	0.171368592047807	0.252079855444641
-7.4	0.00000000179378390796408	0.0000589430677565399	0.00238408820146484	0.0940490773768869	0.194186054983213	0.290678165423105
-7.2	0.0000000033178842435473	0.0000892616571771329	0.00326681905619992	0.110920834679456	0.217852177032551	0.332129095743267
-7	0.00000000607588284982329	0.000133830225764885	0.00443184841193801	0.129517595665892	0.241970724519143	0.376054004898621
-6.8	0.0000000110157636246823	0.000198655471392773	0.00595253241977585	0.149727465635745	0.266085249898755	0.421963914441432
-6.6	0.0000000197731964062447	0.00029194692579146	0.00791545158297997	0.171368592047807	0.289691552761483	0.469267563091258
-6.4	0.0000000351395509482043	0.000424780270550751	0.0104209348144226	0.194186054983213	0.312253933366761	0.517285738574498
-6.2	0.0000000618262050016586	0.000611901930113772	0.0135829692336856	0.217852177032551	0.3332246028918	0.565271712914355
-6	0.000000107697600425433	0.00087268269504576	0.0175283004935685	0.241970724519143	0.3520653267643	0.612437142169658
-5.8	0.000000185736184455529	0.00123221916847302	0.0223945302948429	0.266085249898755	0.368270140303323	0.657982325401579
-5.6	0.000000317134921671598	0.00172256893905368	0.0283270377416012	0.289691552761483	0.381387815460524	0.701129292037583
-5.4	0.000000536103534469761	0.00238408820146484	0.0354745928462314	0.312253933366761	0.391042693975456	0.741155844493448
-5.2	0.000000897243516238334	0.00326681905619992	0.0439835959804272	0.3332246028918	0.396952547477012	0.777428462648955
-5	0.0000014867195147343	0.00443184841193801	0.0539909665131881	0.3520653267643	0.398942280401433	0.809431908810373
-4.8	0.00000243896074589335	0.00595253241977585	0.0656158147746766	0.368270140303323	0.396952547477012	0.836793473935534
-4.6	0.00000396129909103208	0.00791545158297997	0.0789501583008942	0.381387815460524	0.391042693975456	0.859300080618945
-4.4	0.00000636982517886709	0.0104209348144226	0.0940490773768869	0.391042693975456	0.381387815460524	0.876906891452468
-4.2	0.0000101408520654868	0.0135829692336856	0.110920834679456	0.396952547477012	0.368270140303323	0.889736632545542
-4	0.0000159837411069055	0.0175283004935685	0.129517595665892	0.398942280401433	0.3520653267643	0.898069487066299
-3.8	0.0000249424712900535	0.0223945302948429	0.149727465635745	0.396952547477012	0.3332246028918	0.902324088770689
-3.6	0.0000385351967420871	0.0283270377416012	0.171368592047807	0.391042693975456	0.312253933366761	0.903030792328368
-3.4	0.0000589430677565399	0.0354745928462314	0.194186054983213	0.381387815460524	0.289691552761483	0.900798959119208
-3.2	0.0000892616571771329	0.0439835959804272	0.217852177032551	0.368270140303323	0.266085249898755	0.896280424872233
-3	0.000133830225764885	0.0539909665131881	0.241970724519143	0.3520653267643	0.241970724519143	0.890131572541539
-2.8	0.000198655471392773	0.0656158147746766	0.266085249898755	0.3332246028918	0.217852177032551	0.882976500069174
-2.6	0.00029194692579146	0.0789501583008941	0.289691552761483	0.312253933366761	0.194186054983213	0.875373646338143
-2.4	0.000424780270550751	0.0940490773768869	0.312253933366761	0.289691552761483	0.171368592047807	0.867787935823489
-2.2	0.000611901930113772	0.110920834679456	0.3332246028918	0.266085249898755	0.149727465635745	0.860570055035869
-2	0.00087268269504576	0.129517595665892	0.3520653267643	0.241970724519143	0.129517595665892	0.853943925310272
-1.8	0.00123221916847302	0.149727465635745	0.368270140303323	0.217852177032551	0.110920834679456	0.848002836819547
-1.6	0.00172256893905368	0.171368592047807	0.381387815460524	0.194186054983213	0.0940490773768869	0.842714108807485
-1.4	0.00238408820146484	0.194186054983213	0.391042693975456	0.171368592047807	0.0789501583008941	0.837931587508835
-1.2	0.00326681905619992	0.217852177032551	0.396952547477012	0.149727465635745	0.0656158147746766	0.833414823976184
-1	0.00443184841193801	0.241970724519143	0.398942280401433	0.129517595665892	0.0539909665131881	0.828853415511594
-0.8	0.00595253241977585	0.266085249898755	0.396952547477012	0.110920834679456	0.0439835959804272	0.823894760455425
-0.6	0.00791545158297997	0.289691552761483	0.391042693975456	0.0940490773768869	0.0354745928462314	0.818173368543037
