MEMCLK	256	1024	2048
972.000	71.59	954.31	3796.36
987.428	71.58	955.15	3796.79
993.600	71.58	955.07	3795.24
999.000	71.58	955.32	3798.35
1101.600	71.55	954.96	3795.84
