X	Y5	Y1	Y_1	Y_4	Y_5	SUMME
-10	5.53071E-50	2.11882E-27	1.02798E-18	0.00000000607588284982329	0.0000014867195147343	0.00000149279539758515
-9.8	1.08888E-48	1.87437E-26	6.09576E-18	0.0000000197731964062446	0.00000396129909103206	0.0000039810722874444
-9.6	2.0597E-47	1.59311E-25	3.47296E-17	0.0000000618262050016586	0.0000101408520654868	0.0000102026782705231
-9.4	3.74333E-46	1.30096E-24	1.90108E-16	0.000000185736184455529	0.0000249424712900535	0.0000251282074746992
-9.2	6.53643E-45	1.02073E-23	9.99838E-16	0.000000536103534469764	0.0000589430677565401	0.0000594791712920097
-9	1.09661E-43	7.6946E-23	5.05227E-15	0.0000014867195147343	0.000133830225764885	0.000135316945284672
-8.8	1.76762E-42	5.573E-22	2.45286E-14	0.00000396129909103206	0.00029194692579146	0.00029590822490702
-8.6	2.73751E-41	3.87811E-21	1.14416E-13	0.0000101408520654868	0.000611901930113773	0.000622042782293675
-8.4	4.07335E-40	2.59286E-20	5.12775E-13	0.0000249424712900535	0.00123221916847302	0.00125716164027585
-8.2	5.82338E-39	1.66559E-19	2.20799E-12	0.0000589430677565401	0.00238408820146485	0.00244303127142938
-8	7.99883E-38	1.02798E-18	9.13472E-12	0.000133830225764885	0.00443184841193801	0.00456567864683761
-7.8	1.05562E-36	6.09576E-18	3.63096E-11	0.00029194692579146	0.00791545158297997	0.00820739854508105
-7.6	1.33849E-35	3.47296E-17	0.000000000138667999416532	0.000611901930113773	0.0135829692336856	0.0141948713024674
-7.4	1.63061E-34	1.90108E-16	0.000000000508814028164504	0.00123221916847302	0.0223945302948429	0.0236267499721301
-7.2	1.9086E-33	9.99838E-16	0.00000000179378390796408	0.00238408820146484	0.0354745928462314	0.0378586828414812
-7	2.14638E-32	5.05227E-15	0.00000000607588284982329	0.00443184841193801	0.0539909665131881	0.058422821001014
-6.8	2.31915E-31	2.45286E-14	0.0000000197731964062447	0.00791545158297997	0.0789501583008942	0.0868656296570951
-6.6	2.40756E-30	1.14416E-13	0.0000000618262050016586	0.0135829692336856	0.110920834679456	0.124503865739461
-6.4	2.40135E-29	5.12775E-13	0.000000185736184455529	0.0223945302948429	0.149727465635745	0.172122181667285
-6.2	2.30123E-28	2.20799E-12	0.000000536103534469761	0.0354745928462314	0.194186054983213	0.229661183935187
-6	2.11882E-27	9.13472E-12	0.0000014867195147343	0.0539909665131881	0.241970724519143	0.295963177760981
-5.8	1.87437E-26	3.63096E-11	0.00000396129909103208	0.0789501583008942	0.289691552761483	0.368645672397778
-5.6	1.59311E-25	0.000000000138667999416532	0.0000101408520654868	0.110920834679456	0.3332246028918	0.444155578561989
-5.4	1.30096E-24	0.000000000508814028164504	0.0000249424712900535	0.149727465635745	0.368270140303323	0.518022548919172
-5.2	1.02073E-23	0.00000000179378390796408	0.0000589430677565399	0.194186054983213	0.391042693975456	0.585287693820209
-5	7.6946E-23	0.00000000607588284982329	0.000133830225764885	0.241970724519143	0.398942280401433	0.641046841222224
-4.8	5.573E-22	0.0000000197731964062447	0.00029194692579146	0.289691552761483	0.391042693975456	0.681026213435927
-4.6	3.87811E-21	0.0000000618262050016586	0.000611901930113773	0.3332246028918	0.368270140303323	0.702106706951442
-4.4	2.59286E-20	0.000000185736184455529	0.00123221916847302	0.368270140303323	0.3332246028918	0.702727148099781
-4.2	1.66559E-19	0.000000536103534469761	0.00238408820146484	0.391042693975456	0.289691552761483	0.683118871041938
-4	1.02798E-18	0.0000014867195147343	0.00443184841193801	0.398942280401433	0.241970724519143	0.645346340052029
-3.8	6.09576E-18	0.00000396129909103208	0.00791545158297997	0.391042693975456	0.194186054983213	0.59314816184074
-3.6	3.47296E-17	0.0000101408520654868	0.0135829692336856	0.368270140303323	0.149727465635745	0.531590716024819
-3.4	1.90108E-16	0.0000249424712900535	0.0223945302948429	0.3332246028918	0.110920834679456	0.466564910337388
-3.2	9.99838E-16	0.0000589430677565399	0.0354745928462314	0.289691552761483	0.0789501583008942	0.404175246976366
-3	5.05227E-15	0.000133830225764885	0.0539909665131881	0.241970724519143	0.0539909665131881	0.350086487771289
-2.8	2.45286E-14	0.00029194692579146	0.0789501583008942	0.194186054983213	0.0354745928462314	0.308902753056155
