X	Y5	Y1	Y_1	Y_4	Y_5	SUMME
-10	7.77038E-101	9.52437E-55	5.07156E-37	4.43849E-17	3.32636E-12	3.3264E-12
-9.8	3.40143E-98	8.14711E-53	1.91771E-35	4.93273E-16	2.45787E-11	2.45792E-11
-9.6	1.37224E-95	6.42271E-51	6.683E-34	5.05227E-15	0.000000000167376513749469	0.000000000167381566020552
-9.4	5.10203E-93	4.66638E-49	2.14638E-32	4.76907E-14	0.00000000105045695309643	0.00000000105050464376831
-9.2	1.74825E-90	3.12457E-47	6.35317E-31	4.14885E-13	0.00000000607588284982331	0.00000000607629773472109
-9	5.52095E-88	1.92818E-45	1.73309E-29	3.32636E-12	0.00000003238828202534	0.0000000323916083849676
-8.8	1.60683E-85	1.09661E-43	4.35712E-28	2.45787E-11	0.000000159115988897108	0.000000159140567555002
-8.6	4.30997E-83	5.74781E-42	1.00954E-26	0.000000000167376513749469	0.000000720422256757144	0.000000720589633270894
-8.4	1.06543E-80	2.77652E-40	2.15575E-25	0.00000000105045695309643	0.00000300613036126873	0.00000300718081822182
-8.2	2.4273E-78	1.23608E-38	4.24247E-24	0.00000000607588284982331	0.0000115604805554733	0.0000115665564383231
-8	5.09647E-76	5.07156E-37	7.6946E-23	0.00000003238828202534	0.0000409723953324408	0.0000410047836144661
-7.8	9.86196E-74	1.91771E-35	1.28618E-21	0.000000159115988897109	0.000133830225764885	0.000133989341753782
-7.6	1.75875E-71	6.683E-34	1.98136E-20	0.000000720422256757144	0.000402869561607152	0.000403589983863909
-7.4	2.89063E-69	2.14638E-32	2.81302E-19	0.00000300613036126873	0.00111769186648184	0.00112069799684311
-7.2	4.37852E-67	6.35317E-31	3.6807E-18	0.0000115604805554732	0.00285776895737511	0.00286932943793059
-7	6.11238E-65	1.73309E-29	4.43849E-17	0.0000409723953324408	0.00673409947523024	0.00677507187056272
-6.8	7.86396E-63	4.35712E-28	4.93273E-16	0.000133830225764885	0.014624442851932	0.0147582730776974
-6.6	9.32435E-61	1.00954E-26	5.05227E-15	0.000402869561607152	0.0292702560291608	0.029673125590773
-6.4	1.01893E-58	2.15575E-25	4.76907E-14	0.00111769186648184	0.053990966513188	0.0551086583797175
-6.2	1.02616E-56	4.24247E-24	4.14885E-13	0.00285776895737511	0.091783173964108	0.094640942921898
-6	9.52437E-55	7.6946E-23	3.32636E-12	0.00673409947523024	0.143797862748868	0.150531962227425
-5.8	8.14711E-53	1.28618E-21	2.45787E-11	0.014624442851932	0.207629558115201	0.222254000991711
-5.6	6.42271E-51	1.98136E-20	0.000000000167376513749469	0.0292702560291608	0.276295185534501	0.305565441731038
-5.4	4.66638E-49	2.81302E-19	0.00000000105045695309643	0.053990966513188	0.338847935756787	0.392838903320432
-5.2	3.12457E-47	3.6807E-18	0.00000000607588284982326	0.091783173964108	0.382986759944212	0.474769939984203
-5	1.92818E-45	4.43849E-17	0.00000003238828202534	0.143797862748868	0.398942280401433	0.542740175538583
